[36m[2025-10-23T04:58:11.470Z] [INFO] Received SIGTERM, shutting down gracefully...[0m
[2025-10-23T04:58:11.470Z] [INFO] Received SIGTERM, shutting down gracefully...
[2025-10-23T04:58:11.470Z] [INFO] Received SIGTERM, shutting down gracefully...
[2025-10-23T08:09:20.811Z] [INFO] Received SIGTERM, shutting down gracefully...
[2025-10-23T08:38:33.993Z] [INFO] Received SIGINT, shutting down gracefully...
[2025-10-23T08:43:02.469Z] [INFO] Received SIGTERM, shutting down gracefully...
[2025-10-23T08:44:53.300Z] [INFO] Received SIGTERM, shutting down gracefully...
[2025-10-23T12:38:27.476Z] [INFO] Received SIGINT, shutting down gracefully...
[2025-10-23T13:10:23.933Z] [INFO] Received SIGTERM, shutting down gracefully...
[2025-10-23T14:01:22.482Z] [INFO] Received SIGTERM, shutting down gracefully...
[2025-10-23T14:02:11.582Z] [INFO] Received SIGTERM, shutting down gracefully...
[2025-10-23T14:02:48.431Z] [INFO] Received SIGTERM, shutting down gracefully...
[2025-10-23T14:03:48.432Z] [INFO] Received SIGTERM, shutting down gracefully...
[2025-10-23T14:04:58.119Z] [INFO] Received SIGTERM, shutting down gracefully...
[2025-10-23T14:05:32.598Z] [INFO] Received SIGTERM, shutting down gracefully...
[2025-10-23T14:06:26.072Z] [INFO] Received SIGTERM, shutting down gracefully...
